item	text	full_item
1	Ich reagiere viel emotionaler als fast alle anderen Menschen.	62
2	Ich bin gut darin, Leute reinzulegen.	162
3	Ich gehe oft ziemlich nachlässig mit meinen Sachen und denen anderer um.	129
4	Ich halte Abstand zu Menschen.	82
5	Ich sehe zwischen den Dingen oft ungewöhnliche Zusammenhänge, die anderen Menschen entgehen.	194
6	Auch wenn es andere zum Wahnsinn treibt, bestehe ich darauf, alles perfekt zu machen.	123
7	Ich mache mir ständig über irgendetwas Sorgen.	109
8	Manchmal muss man vor anderen übertreiben, um weiterzukommen.	126
9	Es kommt mir vor, als würde ich völlig impulsiv handeln.	4
10	Nichts scheint mich wirklich zu interessieren.	23
11	Man hat mir gesagt, dass meine Art zu denken wirklich seltsam ist.	25
12	Es ist mir wichtig, dass Dinge auf eine ganz bestimmte Weise erledigt werden.	140
13	Ich mache mir viele Sorgen darüber, allein zu sein.	50
14	Es steht mir zu, besonders behandelt zu werden.	187
15	Ich verliere in Gesprächen den Faden, weil mich andere Dinge ablenken.	6
16	Ich halte romantische Gefühle lieber aus meinem Leben heraus.	89
17	Es ist komisch, aber manchmal kommen mir alltägliche Gegenstände anders vor als sonst.	44
18	Ich versuche Dinge weiter zu perfektionieren, auch wenn ich sie wahrscheinlich schon so gut wie möglich hinbekommen habe.	176
19	Ich werde schnell emotional, oft aus geringstem Anlass.	122
20	Es fällt mir leicht, andere auszunutzen.	219
21	Ich vergesse oft, meine Rechnungen zu bezahlen.	160
22	Ich mag es nicht, Zeit mit anderen zu verbringen.	136
23	Ich hatte einige wirklich seltsame Erlebnisse, die sehr schwer zu erklären sind.	209
24	Ich habe für viele alltägliche Verhaltensweisen strikte Regeln.	220
25	Ich mache mir über fast alles Sorgen.	110
26	Ich biege mir die Wahrheit zurecht, wenn es zu meinem Vorteil ist.	218
27	Obwohl ich es eigentlich besser weiß, treffe ich immer wieder überstürzte Entscheidungen.	17
28	Ich bin selten von irgendetwas begeistert.	189
29	Ich habe mehrere Angewohnheiten, die andere exzentrisch oder seltsam finden.	185
30	Mir wurde schon mal gesagt, dass ich zu viel Zeit damit verbringe, darauf zu achten, dass alles genau an seinem Platz ist.	34
31	Ich ertrage es nicht, allein gelassen zu werden – nicht mal für ein paar Stunden.	64
32	Ich muss mich oft mit Leuten beschäftigen, die weniger wichtig sind als ich.	197
33	Ich lasse mich leicht ablenken.	132
34	Ich beende Beziehungen, wenn sie enger werden.	108
35	Wenn ich einen vertrauten Gegenstand anschaue, ist es manchmal so, als würde ich ihn zum ersten Mal sehen.	77
36	Andere beschweren sich darüber, dass bei mir alles genau durchgeplant sein muss.	115
