item	text	full_item
1	People would describe me as reckless.	3
2	I feel like I act totally on impulse.	4
3	Even though I know better, I can't stop making rash decisions.	17
4	I often feel like nothing I do really matters.	27
5	Others see me as irresponsible.	31
6	I'm not good at planning ahead.	47
7	My thoughts often don’t make sense to others.	52
8	I worry about almost everything.	110
9	I get emotional easily, often for very little reason.	122
10	I fear being alone in life more than anything else.	127
11	I get stuck on one way of doing things, even when it's clear it won't work.	128
12	I have seen things that weren’t really there.	139
13	I steer clear of romantic relationships.	145
14	I'm not interested in making friends.	146
15	I get irritated easily by all sorts of things.	158
16	I don’t like to get too close to people.	161
17	It's no big deal if I hurt other peoples' feelings.	166
18	I rarely get enthusiastic about anything.	189
19	I crave attention.	191
20	I often have to deal with people who are less important than me.	197
21	I often have thoughts that make sense to me but that other people say are strange.	205
22	I use people to get what I want.	206
23	I often "zone out" and then suddenly come to and realize that a lot of time has passed.	213
24	Things around me often feel unreal, or more real than usual.	217
25	It is easy for me to take advantage of others.	219
