item	text	sf_position
23	Nichts scheint mich wirklich zu interessieren.	1
79	Ich mache mir häufig Sorgen über schreckliche Dinge, die passieren könnten.	2
74	Ich liebe es, von anderen Aufmerksamkeit zu bekommen.	3
19	Es ist mir völlig egal, ob ich anderen Leuten Leid zufüge.	4
53	Um zu bekommen, was ich will, erfinde ich häufig etwas über mich selbst.	5
81	Die Welt wäre besser dran, wenn ich tot wäre.	6
118	Es fällt mir schwer, mich auf das zu konzentrieren, was gerade ansteht.	7
25	Man hat mir gesagt, dass meine Art zu denken wirklich seltsam ist.	8
122	Ich werde schnell emotional, oft aus geringstem Anlass.	9
40	Um ehrlich zu sein: Ich bin einfach wichtiger als andere Leute.	10
38	Ich werde schnell wütend.	11
4	Es kommt mir vor, als würde ich völlig impulsiv handeln.	12
89	Ich halte romantische Gefühle lieber aus meinem Leben heraus.	13
129	Ich gehe oft ziemlich nachlässig mit meinen Sachen und denen anderer um.	14
107	Ich kann Leute gut dazu bringen, das zu tun, was ich will.	15
44	Es ist komisch, aber manchmal kommen mir alltägliche Gegenstände anders vor als sonst.	16
60	Ich gehe Dinge immer auf die gleiche Weise an, auch wenn es so nicht funktioniert.	17
84	Ich werde nicht emotional.	18
105	Wenn etwas, das ich tue, nicht absolut perfekt ist, kann ich es einfach nicht akzeptieren.	19
39	Wenn es darum geht, gefährliche Dinge zu tun, kenne ich keine Grenzen.	20
50	Ich mache mir viele Sorgen darüber, allein zu sein.	21
9	Ich ändere mein Verhalten entsprechend den Wünschen anderer.	22
2	Viele Leute haben es auf mich abgesehen.	23
106	Ich habe oft ungewöhnliche Erlebnisse; zum Beispiel spüre ich die Gegenwart von jemandem, der nicht wirklich da ist.	24
82	Ich halte Abstand zu Menschen.	25
26	Ich genieße das Leben eigentlich nie.	26
109	Ich mache mir ständig über irgendetwas Sorgen.	27
173	Ich mag es, jemand zu sein, der auffällt.	28
153	Es ist mir egal, ob ich durch mein Handeln andere verletze.	29
134	Wenn es mir weiterhilft, täusche ich andere ohne zu zögern.	30
151	Das Leben kommt mir ziemlich trostlos vor.	31
132	Ich lasse mich leicht ablenken.	32
70	Andere halten mich wohl für ziemlich eigenartig oder ungewöhnlich.	33
138	Ich weiß nie, wie sich meine Gefühle von jetzt auf gleich verändern werden.	34
114	Ich bin besser als fast alle anderen.	35
92	Ich bin sehr leicht reizbar.	36
16	Ich handle meistens impulsiv, ohne über mögliche Konsequenzen nachzudenken.	37
120	Ich bin einfach nicht besonders an sexuellen Beziehungen interessiert.	38
156	Ich mache Versprechungen, die ich nicht wirklich einzuhalten vorhabe.	39
125	Indem ich mich bei anderen einschmeichle, bekomme ich leichter, was ich will.	40
154	Manchmal fühle ich mich von Gedanken „kontrolliert“, die jemand anderem gehören.	41
80	Es fällt mir schwer, meine Vorgehensweise zu verändern, auch wenn sie sich nicht bewährt.	42
91	Ich zeige meine Gefühle nicht so deutlich.	43
123	Auch wenn es andere zum Wahnsinn treibt, bestehe ich darauf, alles perfekt zu machen.	44
48	Ich mache vieles, was andere für riskant halten.	45
127	Vor nichts im Leben fürchte ich mich so sehr wie vor dem Alleinsein.	46
15	Ich mache meistens das, was andere von mir erwarten.	47
117	Ich bin immer auf der Hut vor Leuten, die mich vielleicht hereinlegen oder schädigen wollen.	48
139	Ich habe schon mal Dinge gesehen, die nicht wirklich da waren.	49
136	Ich mag es nicht, Zeit mit anderen zu verbringen.	50
124	Ich bin fast nie glücklich mit dem, was ich im Alltag so tue.	51
130	Ich bin eine sehr ängstliche Person.	52
191	Ich bin verrückt nach Aufmerksamkeit.	53
166	Es ist nichts dabei, wenn ich die Gefühle anderer verletze.	54
206	Ich benutze Menschen, um zu bekommen, was ich will.	55
163	Mir kommt alles sinnlos vor.	56
144	Ich kann mich nicht besonders lange auf etwas konzentrieren.	57
152	Ich denke über Dinge in einer ungewöhnlichen Weise nach, die für die meisten Leute keinen Sinn ergibt.	58
165	Ich werde wegen jeder Kleinigkeit emotional.	59
187	Es steht mir zu, besonders behandelt zu werden.	60
158	Ich bin schnell von allen möglichen Dingen genervt.	61
17	Obwohl ich es eigentlich besser weiß, treffe ich immer wieder überstürzte Entscheidungen.	62
145	Ich gehe Liebesbeziehungen aus dem Weg.	63
160	Ich vergesse oft, meine Rechnungen zu bezahlen.	64
162	Ich bin gut darin, Leute reinzulegen.	65
192	Manchmal kommt es mir vor, als würde jemand Gedanken aus meinem Kopf entfernen.	66
100	Ich fixiere mich auf bestimmte Dinge und kann mich dann nicht mehr davon losreißen.	67
167	Ich zeige anderen gegenüber niemals Gefühle.	68
176	Ich versuche Dinge weiter zu perfektionieren, auch wenn ich sie wahrscheinlich schon so gut wie möglich hinbekommen habe.	69
67	Ich riskiere gern etwas.	70
149	Ich würde so ziemlich alles tun, um jemand davon abzuhalten, mich zu verlassen.	71
63	Ich tue das, was andere mir sagen.	72
133	Es kommt mir so vor, als ob ich von anderen immer ungerecht behandelt werde.	73
150	Manchmal kann ich andere Leute durch Gedankenübertragung beeinflussen.	74
146	Ich habe kein Interesse daran, Freundschaften zu schließen.	75
157	Nichts scheint mir richtig Spaß zu machen.	76
174	Ich bin ständig ängstlich oder nervös, weil etwas Schlimmes passieren könnte.	77
211	Ich mag es, Aufmerksamkeit auf mich zu ziehen.	78
183	Die Probleme anderer Menschen sind mir egal.	79
218	Ich biege mir die Wahrheit zurecht, wenn es zu meinem Vorteil ist.	80
169	Ich bin als Person wertlos.	81
199	Ich werde selbst von kleineren Ablenkungen aus Aufgaben herausgerissen.	82
205	Ich habe oft Gedanken, die für mich Sinn ergeben, aber anderen Leuten seltsam erscheinen.	83
181	Meine Gefühle sind unvorhersehbar.	84
197	Ich muss mich oft mit Leuten beschäftigen, die weniger wichtig sind als ich.	85
170	Ich bin normalerweise ziemlich feindselig.	86
22	Ich handle immer spontan aus dem Moment heraus.	87
203	Ich bin lieber allein, als eine enge Liebesbeziehung mit jemandem zu haben.	88
171	Ich bin schon mal abgehauen, um keine Verantwortung übernehmen zu müssen.	89
219	Es fällt mir leicht, andere auszunutzen.	90
217	Die Dinge um mich herum fühlen sich oft unwirklich oder realer als sonst an.	91
