item	text	sf_position
23	Nothing seems to interest me very much.	1
79	I worry a lot about terrible things that might happen.	2
74	I love getting the attention of other people.	3
19	I really don't care if I make other people suffer.	4
53	I often make up things about myself to help me get what I want.	5
81	The world would be better off if I were dead.	6
118	I have trouble keeping my mind focused on what needs to be done.	7
25	People have told me that I think about things in a really strange way.	8
122	I get emotional easily, often for very little reason.	9
40	To be honest, I'm just more important than other people.	10
38	I am easily angered.	11
4	I feel like I act totally on impulse.	12
89	I prefer to keep romance out of my life.	13
129	I'm often pretty careless with my own and others' things.	14
107	I'm good at making people do what I want them to do.	15
44	It's weird, but sometimes ordinary objects seem to be a different shape than usual.	16
60	I keep approaching things the same way, even when it isn’t working.	17
84	I don't get emotional.	18
105	If something I do isn't absolutely perfect, it's simply not acceptable.	19
39	I have no limits when it comes to doing dangerous things.	20
50	I worry a lot about being alone.	21
9	I change what I do depending on what others want.	22
2	Plenty of people are out to get me.	23
106	I often have unusual experiences, such as sensing the presence of someone who isn't actually there.	24
82	I keep my distance from people.	25
26	I almost never enjoy life.	26
109	I’m always worrying about something.	27
173	I like being a person who gets noticed.	28
153	I don’t care if my actions hurt others.	29
134	I don't hesitate to cheat if it gets me ahead.	30
151	Life looks pretty bleak to me.	31
132	I am easily distracted.	32
70	Others seem to think I'm quite odd or unusual.	33
138	I never know where my emotions will go from moment to moment.	34
114	I'm better than almost everyone else.	35
92	I have a very short temper.	36
16	I usually do things on impulse without thinking about what might happen as a result.	37
120	I'm just not very interested in having sexual relationships.	38
156	I make promises that I don't really intend to keep.	39
125	Sweet-talking others helps me get what I want.	40
154	Sometimes I feel "controlled" by thoughts that belong to someone else.	41
80	I have trouble changing how I'm doing something even if what I'm doing isn't going well.	42
91	I don't show emotions strongly.	43
123	Even though it drives other people crazy, I insist on absolute perfection in everything I do.	44
48	I do a lot of things that others consider risky.	45
127	I fear being alone in life more than anything else.	46
15	I usually do what others think I should do.	47
117	I'm always on my guard for someone trying to trick or harm me.	48
139	I have seen things that weren’t really there.	49
136	I don’t like spending time with others.	50
124	I almost never feel happy about my day-to-day activities.	51
130	I am a very anxious person.	52
191	I crave attention.	53
166	It's no big deal if I hurt other peoples' feelings.	54
206	I use people to get what I want.	55
163	Everything seems pointless to me.	56
144	I can't focus on things for very long.	57
152	I think about things in odd ways that don't make sense to most people.	58
165	I get emotional over every little thing.	59
187	I deserve special treatment.	60
158	I get irritated easily by all sorts of things.	61
17	Even though I know better, I can't stop making rash decisions.	62
145	I steer clear of romantic relationships.	63
160	I often forget to pay my bills.	64
162	I'm good at conning people.	65
192	Sometimes I think someone else is removing thoughts from my head.	66
100	I get fixated on certain things and can’t stop.	67
167	I never show emotions to others.	68
176	I keep trying to make things perfect, even when I've gotten them as good as they're likely to get.	69
67	I like to take risks.	70
149	I'll do just about anything to keep someone from abandoning me.	71
63	I do what other people tell me to do.	72
133	It seems like I'm always getting a “raw deal” from others.	73
150	Sometimes I can influence other people just by sending my thoughts to them.	74
146	I'm not interested in making friends.	75
157	Nothing seems to make me feel good.	76
174	I'm always fearful or on edge about bad things that might happen.	77
211	I like to draw attention to myself.	78
183	I don’t care about other peoples’ problems.	79
218	I'll stretch the truth if it's to my advantage.	80
169	I have no worth as a person.	81
199	I get pulled off-task by even minor distractions.	82
205	I often have thoughts that make sense to me but that other people say are strange.	83
181	My emotions are unpredictable.	84
197	I often have to deal with people who are less important than me.	85
170	I am usually pretty hostile.	86
22	I always do things on the spur of the moment.	87
203	I prefer being alone to having a close romantic partner.	88
171	I've skipped town to avoid responsibilities.	89
219	It is easy for me to take advantage of others.	90
217	Things around me often feel unreal, or more real than usual.	91
128	I get stuck on one way of doing things, even when it's clear it won't work.	92
184	I don't react much to things that seem to make others emotional.	93
196	I simply won't put up with things being out of their proper places.	94
159	I do what I want regardless of how unsafe it might be.	95
175	I never want to be alone.	96
202	I try to do what others want me to do.	97
190	I suspect that even my so-called “friends” betray me a lot.	98
209	I've had some really weird experiences that are very difficult to explain.	99
186	I avoid social events.	100
